epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
70,3737.04,0.71714,0.32906,0.00494,0,0.9781,0.98148,0.9933,0.76958,0.82936,0.24898,0.00729,0,0.00029225,0.00029225,0.00029225
71,3792.83,0.65629,0.23563,0.00531,0,0.977,0.98318,0.9935,0.76005,0.83133,0.26312,0.00717,0,0.0002675,0.0002675,0.0002675
72,3845.41,0.64212,0.22442,0.00517,0,0.9609,0.9838,0.99222,0.76004,0.83422,0.27202,0.00706,0,0.00024275,0.00024275,0.00024275
73,3897.87,0.64962,0.21936,0.00522,0,0.97029,0.98611,0.99295,0.76427,0.83211,0.26372,0.00717,0,0.000218,0.000218,0.000218
74,3950.24,0.63842,0.22158,0.00502,0,0.97255,0.98403,0.99272,0.76665,0.83101,0.2628,0.0072,0,0.00019325,0.00019325,0.00019325
75,4002.92,0.63544,0.22153,0.00508,0,0.96355,0.98843,0.99254,0.76547,0.83165,0.26713,0.00717,0,0.0001685,0.0001685,0.0001685
76,4055.36,0.63489,0.21134,0.00489,0,0.97033,0.98429,0.99286,0.76262,0.83144,0.26398,0.00711,0,0.00014375,0.00014375,0.00014375
77,4107.83,0.62865,0.21064,0.005,0,0.97468,0.98001,0.99254,0.76486,0.83436,0.26593,0.0072,0,0.000119,0.000119,0.000119
78,4160.35,0.62571,0.22156,0.0049,0,0.97509,0.97917,0.99281,0.76656,0.82926,0.2636,0.00709,0,9.425e-05,9.425e-05,9.425e-05
79,4212.87,0.62692,0.21698,0.00491,0,0.96676,0.98611,0.9931,0.76599,0.83046,0.26088,0.0071,0,6.95e-05,6.95e-05,6.95e-05
80,4265.36,0.61987,0.20149,0.00496,0,0.96633,0.9838,0.99312,0.76756,0.82957,0.26183,0.00712,0,4.475e-05,4.475e-05,4.475e-05
